window_miles,n_windows,covered_miles,episodes_in_complete_windows,mean_count,variance_count,dispersion_index,window_count_cv,replicate,total_miles,enough_windows_for_reliable_dispersion
25000.0,4,100000.0,3832,958.0,6630.666666666667,6.921363952679193,0.08499885761653546,3,100000.0,False
50000.0,2,100000.0,3832,1916.0,30752,16.05010438413361,0.09152530361913558,3,100000.0,False
100000.0,1,100000.0,3832,3832.0,,,,3,100000.0,False
1000.0,200,200000.0,7826,39.13,225.36994974874372,5.759518266004184,0.38365260908411053,3,200000.0,True
5000.0,40,200000.0,7826,195.65,1196.4897435897435,6.115459972347271,0.17679689679348196,3,200000.0,True
10000.0,20,200000.0,7826,391.3,2512.7473684210527,6.42153684748544,0.1281045530328931,3,200000.0,False
25000.0,8,200000.0,7826,978.25,3574.5,3.6539739330437007,0.06111640414950225,3,200000.0,False
50000.0,4,200000.0,7826,1956.5,12440.333333333334,6.358463242184173,0.05700804612389717,3,200000.0,False
100000.0,2,200000.0,7826,3913.0,13122,3.3534372604140046,0.029274546013856557,3,200000.0,False
1000.0,500,500000.0,19453,38.906,200.14545490981965,5.14433390504857,0.36362713454745815,3,500000.0,True
5000.0,100,500000.0,19453,194.53,1082.5748484848484,5.565079157378546,0.16913846296582483,3,500000.0,True
10000.0,50,500000.0,19453,389.06,2052.261632653061,5.274923232028636,0.11643935218355746,3,500000.0,True
25000.0,20,500000.0,19453,972.65,4927.607894736842,5.066167577995006,0.0721707934608725,3,500000.0,False
50000.0,10,500000.0,19453,1945.3,17890.455555555556,9.196759140263998,0.06875813889011499,3,500000.0,False
100000.0,5,500000.0,19453,3890.6,5813.8,1.4943196422145686,0.01959807707528279,3,500000.0,False
1000.0,1000,1000000.0,39130,39.13,208.72982982982984,5.334266031940451,0.3692176141685678,3,1000000.0,True
5000.0,200,1000000.0,39130,195.65,1140.9221105527638,5.831444469986015,0.17264267084502613,3,1000000.0,True
10000.0,100,1000000.0,39130,391.3,2175.848484848485,5.560563467540212,0.11920774620715274,3,1000000.0,True
25000.0,40,1000000.0,39130,978.25,4439.782051282052,4.5384943023583455,0.06811315056729321,3,1000000.0,True
50000.0,20,1000000.0,39130,1956.5,12659.21052631579,6.470335050506409,0.057507363723669463,3,1000000.0,False
