factor,level,level_value,replicate,feasible,error,episodes_per_million_miles,unknown_time_fraction,total_unknown_episodes,total_events,duration_s_mean,duration_s_median,duration_s_p90,duration_mi_mean,inter_arrival_mi_mean,inter_arrival_s_mean,dispersion_index,episodes_element,episodes_hidden_triggering,episodes_full_scenario,wall_seconds
min_duration_seconds,0.001,0.001,3,True,,37324.99625933504,0.020428000001658092,74650,9998745,39.6069604009379,21.029726167675108,68.7120328307152,0.5500966722347534,26.79119173611121,1928.9658049997904,4.652216204936269,33471,4517,36662,51.841416399984155
min_duration_seconds,0.001,0.001,4,True,,38113.49995222096,0.02076743086982412,76227,10002289,39.42392485902153,21.694610834121704,71.5977311119438,0.5475545119310455,26.237156201711436,1889.0752465232829,4.910555835838908,35499,5291,35437,52.37596960004885
min_duration_seconds,0.5,0.5,0,True,,37689.99327993749,0.020313138685103295,75380,9998179,39.01200593312441,20.99322298169136,71.3853265263141,0.5418334157377946,26.531850987904413,1910.2932711289127,4.978220900202792,33700,5135,36545,51.53773630002979
min_duration_seconds,0.5,0.5,1,True,,36442.994293562806,0.019926169118028497,72886,10000245,39.562706342733485,21.65780768916011,70.77313533332199,0.5494820325372892,27.43878482428232,1975.592507348214,4.749497563276691,34048,4316,34522,50.47018600004958
min_duration_seconds,0.5,0.5,2,True,,35489.99699303731,0.020283044705574998,70980,9999279,41.36476189066238,21.277044537477195,74.76218885928392,0.5745105818152789,28.176196833224246,2028.6861719920207,5.053217623762657,29904,5675,35401,51.89126150001539
min_duration_seconds,0.5,0.5,3,True,,36969.999572594235,0.020319468579115103,73940,9998849,39.75575144521204,20.983121618628502,69.13906688094141,0.5521632145164611,27.048398816699205,1947.484714802213,4.035595885839802,33192,4572,36176,50.892151099978946
min_duration_seconds,0.5,0.5,4,True,,37846.998171828884,0.020382285523963515,75694,10002656,38.96379390292652,21.396873201796552,71.55001401971094,0.5411638042079474,26.42186601435791,1902.3743530335173,4.396886272990444,35274,5197,35223,51.219482799991965
min_duration_seconds,30,30.0,0,True,,32878.49723165727,0.020425096801428056,65757,8727517,44.95468241870602,30.0,74.21321154534819,0.624370589155163,30.41385102424481,2189.797273723702,3.857536920424926,28883,4907,31967,44.528034499962814
min_duration_seconds,30,30.0,1,True,,31580.99624319614,0.02010055928512682,63162,8728117,46.04571235072419,30.0,73.51281838268042,0.6395237826555187,31.66323604154871,2279.752994968227,4.0716991753994956,28508,4169,30485,45.44537410000339
min_duration_seconds,30,30.0,2,True,,30979.498603195905,0.020256237189287474,61959,8729404,47.351828389627805,30.0,79.69560076892378,0.6576642831951662,32.27782402608634,2324.003329854364,4.399936625297925,25455,5539,30965,46.050545800011605
min_duration_seconds,30,30.0,3,True,,32310.99905728403,0.020237348523746423,64622,8727973,45.28404775446586,30.0,71.71834194362165,0.6289451077074685,30.948997067446026,2228.32778883347,4.290363021818884,27694,4504,32424,45.60330689995317
min_duration_seconds,30,30.0,4,True,,33158.99528433366,0.02038195884169915,66318,8729871,44.48909981412897,30.0,74.61884502992034,0.6179041640910505,30.15723699504677,2171.321063621379,5.149702491770654,29938,5065,31315,46.3895958000212
min_duration_seconds,5,5.0,0,True,,38470.49790237694,0.020722653509562636,76941,9988210,38.97896873566244,21.04302180558443,70.18921299278736,0.5413745657750818,25.99344469842591,1871.5280182805288,5.373269369945346,34311,5086,37544,51.45886850001989
min_duration_seconds,5,5.0,1,True,,36955.99720658147,0.020048416178604422,73912,9989471,39.24918360679757,21.48184958472848,68.92204651078218,0.5451275500958951,27.059144301496342,1948.2583897015322,5.4396791838834835,33704,4302,35906,49.939200400025584
min_duration_seconds,5,5.0,2,True,,35614.49849652097,0.020207697585387464,71229,9988558,41.05943682919167,21.22660682350397,74.244806689024,0.570269955962197,28.078122969377148,2021.6248537885838,5.125697208049542,29855,5670,35704,50.79563380003674
min_duration_seconds,5,5.0,3,True,,37199.996290081916,0.02011503522976339,74400,9987784,39.119983591123265,20.78175626299344,68.60347789525987,0.5433331054345191,26.881187775981,1935.4455198644362,4.408683200950992,32905,4551,36944,52.529977300029714
min_duration_seconds,5,5.0,4,True,,38026.49796783772,0.020742541815950824,76053,9992690,39.47617104478778,21.758402943611145,72.17209224998953,0.5482801534017211,26.297024282157377,1893.3857483091736,5.132772787979714,35557,5346,35150,52.82341220002854
rarity_proportions_shape,common_heavy,,0,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0304284) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
rarity_proportions_shape,common_heavy,,1,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0304284) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
rarity_proportions_shape,common_heavy,,2,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0304284) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
rarity_proportions_shape,common_heavy,,3,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0304284) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
rarity_proportions_shape,common_heavy,,4,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0304284) is not smaller than the very_rare weight (0.03). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
rarity_proportions_shape,flat_known,,0,False,"ConfigError: Layer 'ego_maneuver': element count n=8 in the configured range yields zero unknown elements; shrink the range, raise the unknown proportion, or set allow_unknown: false.",,,,,,,,,,,,,,,
rarity_proportions_shape,flat_known,,1,False,"ConfigError: Layer 'ego_maneuver': element count n=8 in the configured range yields zero unknown elements; shrink the range, raise the unknown proportion, or set allow_unknown: false.",,,,,,,,,,,,,,,
rarity_proportions_shape,flat_known,,2,False,"ConfigError: Layer 'ego_maneuver': element count n=8 in the configured range yields zero unknown elements; shrink the range, raise the unknown proportion, or set allow_unknown: false.",,,,,,,,,,,,,,,
rarity_proportions_shape,flat_known,,3,False,"ConfigError: Layer 'ego_maneuver': element count n=8 in the configured range yields zero unknown elements; shrink the range, raise the unknown proportion, or set allow_unknown: false.",,,,,,,,,,,,,,,
rarity_proportions_shape,flat_known,,4,False,"ConfigError: Layer 'ego_maneuver': element count n=8 in the configured range yields zero unknown elements; shrink the range, raise the unknown proportion, or set allow_unknown: false.",,,,,,,,,,,,,,,
rarity_proportions_shape,tail_heavy,,0,True,,37924.99894051506,0.02049265494260097,75850,9998505,39.10425499139134,21.237438447773457,70.61484337151053,0.5431146526583746,26.366788956197638,1898.408804845857,3.8148222987051277,34169,5049,36632,51.85121849999996
rarity_proportions_shape,tail_heavy,,1,True,,36282.49136321208,0.020116520553911443,72565,9999758,40.09546066210855,21.932127341628075,70.87744685709477,0.5568813980853451,27.56124855677789,1984.409896087529,4.171326902548296,33953,4393,34219,49.60738780000247
rarity_proportions_shape,tail_heavy,,2,True,,35831.999896857014,0.02015593781415969,71664,9998415,40.73245054559267,21.239723935490474,73.4895342156291,0.5657284797996153,27.90737991573924,2009.3313539328324,3.4151770237658483,29932,5585,36147,50.96322820003843
rarity_proportions_shape,tail_heavy,,3,True,,36344.495361658766,0.02036301140567717,72689,9998217,40.53117778266572,21.318340826779604,70.41099785268308,0.5629330247595521,27.513358327646174,1980.9617995900237,3.262821764727557,33237,4585,34867,50.54355740000028
rarity_proportions_shape,tail_heavy,,4,True,,38075.49843864656,0.02057239515312635,76151,10001741,39.103183189734104,21.644637048244476,71.39272378385067,0.5430997665246785,26.26342638678482,1890.9666998483267,3.853636674924306,35556,5277,35318,52.024286999949254
target_unknown_element_probability,0.001,0.001,0,True,,23217.49935138849,0.008237358706871756,46435,9998505,25.56111431874372,15.497142262756824,46.62885792851448,0.35501547664960137,43.0699617038322,3101.037242675307,7.887978170166001,8807,1308,36320,52.857770500006154
target_unknown_element_probability,0.001,0.001,1,True,,22718.494592024632,0.008096538840950405,45437,9999758,25.67934258490435,15.675999149680138,46.3937812358141,0.3566575359014427,44.015578332380244,3169.121639930607,6.831617315841704,8545,937,35955,51.4911763999844
target_unknown_element_probability,0.001,0.001,2,True,,21997.999936678403,0.008100798051342346,43996,9998415,26.531057393202836,15.244068731204607,47.23892379179597,0.368486908239086,45.45866594347929,3273.023947929867,8.139157465662707,6660,1602,35734,51.29734190000454
target_unknown_element_probability,0.001,0.001,3,True,,22797.997090484023,0.00817339671118196,45596,9998217,25.832381144656136,15.19068532064557,45.15630411170423,0.3587830714543028,43.862654609336694,3158.1111318714443,7.404465083554451,8491,990,36115,51.9764867000049
target_unknown_element_probability,0.001,0.001,4,True,,23543.499034557004,0.008152004674874565,47087,10001741,24.956321142682103,15.531501412391663,47.22098536789419,0.3466155714264852,42.473823990264165,3058.1153272987317,6.764964094582541,9513,1339,36235,52.92443389998516
target_unknown_element_probability,0.002,0.002,0,True,,28028.499216986853,0.012241239653903545,56057,9998505,31.504746931641286,17.80272027850151,57.41665527373553,0.43756592960697166,35.677736782662954,2568.7970483512236,6.350226165165876,17329,2616,36112,51.73804550000932
