factor,level,level_value,replicates,feasible_runs,errors,error_example,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,total_events_mean,total_events_sd,total_events_min,total_events_max,duration_s_mean_mean,duration_s_mean_sd,duration_s_mean_min,duration_s_mean_max,duration_s_median_mean,duration_s_median_sd,duration_s_median_min,duration_s_median_max,duration_s_p90_mean,duration_s_p90_sd,duration_s_p90_min,duration_s_p90_max,duration_mi_mean_mean,duration_mi_mean_sd,duration_mi_mean_min,duration_mi_mean_max,inter_arrival_mi_mean_mean,inter_arrival_mi_mean_sd,inter_arrival_mi_mean_min,inter_arrival_mi_mean_max,inter_arrival_s_mean_mean,inter_arrival_s_mean_sd,inter_arrival_s_mean_min,inter_arrival_s_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,episodes_element_mean,episodes_element_sd,episodes_element_min,episodes_element_max,episodes_hidden_triggering_mean,episodes_hidden_triggering_sd,episodes_hidden_triggering_min,episodes_hidden_triggering_max,episodes_full_scenario_mean,episodes_full_scenario_sd,episodes_full_scenario_min,episodes_full_scenario_max
element_count.ego_maneuver,n12,12.0,5,5,0,,37433.396722236495,1008.2194645828971,36609.499894618966,39059.99890880734,0.020260347171290355,0.0009891522453026038,0.019154886336818226,0.021533740974350794,74866.8,2016.4392378646078,73219,78120,9999327.2,1479.2468353861705,9998217,10001741,39.15814032910428,1.4122682962759014,37.44436671237192,41.113221204950655,20.948258423805235,0.4852200131652455,20.31011340022087,21.60212991759181,70.13889085151256,2.8699202458177293,67.23726163320242,73.4412353642285,0.5438630601267717,0.019614837448528363,0.5200606487833349,0.5710169611808733,26.728859960408176,0.704427470864299,25.601470696694022,27.315307049390388,1924.477917149011,50.71877790223054,1843.3058901616043,1966.7021075557223,5.2210465304327185,0.3631316434630051,4.837884346439391,5.781122069683632,33477.8,1666.8670312895388,31748,36015,4793.6,766.5561297126258,4053,5873,36595.4,802.9267089840765,35629,37691
element_count.ego_maneuver,n7,7.0,5,5,0,,37355.09665940595,2728.622127220402,35500.999008232706,42148.99462087951,0.020486675085046653,0.0017825924019990995,0.019201242335486434,0.02356271826723719,74710.2,5457.247309770742,71002,84298,9999327.2,1479.2468353861705,9998217,10001741,39.66132561350223,0.6602764072579288,38.770570849471376,40.500795679807275,21.47643364954274,0.5549514831927737,20.77609522640705,22.205354433506727,70.78947340756656,0.7006000194935581,70.13491072654725,71.85867818295957,0.5508517446325478,0.00917050565625882,0.5384801506877855,0.5625110511092017,26.874972305461434,1.8041372442039583,23.72515616994627,28.167201802076757,1934.9980059928457,129.89788158272782,1708.2112442356972,2028.0385297491275,4.863733469443959,1.1134345653762028,3.5538433823724898,6.45134322070905,34143.2,4663.4799452769175,30536,42124,4751.0,490.9857431738726,4372,5580,35816.0,630.419304907456,34852,36594
element_count.environmental_conditions,n15,15.0,5,5,0,,37091.89677602095,1213.955121956482,35534.49989771337,38491.99842156724,0.02008879991531011,0.0005607695178285123,0.0194096053383693,0.020662536533772237,74183.8,2427.9087091569154,71069,76984,9999327.2,1479.2468353861705,9998217,10001741,39.196546611358016,0.5225685343536304,38.65078376088978,40.00086333790941,21.068596663698553,0.28281119495586393,20.692406801506877,21.377788804471493,69.70333802009,1.7292189877355892,67.647219791729,71.32116856425999,0.5443964807137163,0.0072578963104393615,0.5368164411235105,0.5555675463599167,26.98274901308044,0.8861556696571534,25.979244814247775,28.141657640452443,1942.7579289414066,63.80320821523557,1870.5056266256615,2026.1993501121788,5.119078046986019,0.7837141975988439,4.270139014724459,6.096689458351431,33246.2,2168.170242393341,29796,35678,4569.4,755.9978835949212,3484,5202,36368.2,489.94765026480127,35731,36932
element_count.environmental_conditions,n21,21.0,5,5,0,,37133.29672797992,1401.8155155362895,34754.49989995861,38025.99844067639,0.0200799898757743,0.0010047834808952693,0.018811416119799026,0.021326815128535886,74266.6,2803.632607885705,69509,76052,9999327.2,1479.2468353861705,9998217,10001741,39.119991705782,1.3579391157549787,36.94183398284934,40.68039539874086,21.09290383309126,0.30086477763606534,20.78838363289833,21.47163138911128,69.52265095159416,2.4340306838335337,66.25223709121352,72.142177039385,0.543333218136479,0.018860265496719614,0.5130810275401145,0.5650054916500539,26.961565290719882,1.0608207913922374,26.29779732306254,28.77324874889946,1941.2327009314479,76.37909698021014,1893.4414072603226,2071.6739099203546,5.066086418955946,0.31133089229372335,4.725676575649331,5.393874844706732,33246.2,2168.170242393341,29796,35678,4545.0,893.032754158547,3576,5585,36475.4,538.0072490217952,35746,37166
element_count.ru_maneuver,n12,12.0,5,5,0,,37373.99676338628,1685.5441064082684,35353.49989823438,39001.99891042765,0.02013987414347547,0.0010955844275435604,0.01909434568074546,0.021657200537586126,74748.0,3371.0866200677788,70707,78004,9999327.2,1479.2468353861705,9998217,10001741,38.98025405832588,1.1670734203233157,37.50699197054242,40.762980101918615,21.00899741873145,0.42186087203597356,20.544917464256287,21.630229603499174,69.30523509949447,1.8513299209778837,67.7955956608057,72.27616518735886,0.5413924174774072,0.01620935305995841,0.5209304440358978,0.5661525014160065,26.80064675774088,1.226567729362507,25.63968610139398,28.28571368726293,1929.646566556962,88.31287651405428,1846.0573993000003,2036.5713854825326,5.270969276982422,0.7711480374920157,4.182853656003725,5.899996690714375,33781.4,2981.6251105730917,29903,36177,4542.6,421.4976868263929,4167,5008,36424.0,523.2193612625588,35748,37085
element_count.ru_maneuver,n7,7.0,5,5,0,,36747.196736756385,1687.7275686021987,34004.4999021175,38377.495102204164,0.02013111891726244,0.0012002006493412238,0.01835063958113765,0.021708812104816278,73494.4,3375.457865238433,68009,76755,9999327.2,1479.2468353861705,9998217,10001741,39.6058922631391,0.8024069465909152,38.998657973829935,40.93832986553159,21.349425055086613,0.6056772164793462,20.509970393031836,22.150875255465508,70.38304556697612,2.048475530866005,67.2403168573976,72.37602406144157,0.5500818369884073,0.011144540925189987,0.5416480274144334,0.5685879147997829,27.26022506536815,1.3012992793677116,26.055658941343836,29.40786464805121,1962.7362047061208,93.69354811448314,1876.0074437762803,2117.3662546592723,5.256340640992805,0.3079611549458112,4.767326712387707,5.619276889971183,33314.4,3188.261328686844,28401,37276,4650.4,526.3390542226559,3950,5302,35529.6,688.823852664816,34841,36493
element_count.temporal_modifications,n30,30.0,5,5,0,,36746.69680874918,1288.7067995316725,35506.49154793329,38491.99842156724,0.019560264934502813,0.0009701735698600276,0.018599982668643433,0.020662536533772237,73493.4,2577.412132352915,71013,76984,9999327.2,1479.2468353861705,9998217,10001741,38.49440634756438,0.7188048339540596,37.4606666251506,39.34320093789189,20.98989800699055,0.37219960019506576,20.41937925107777,21.377788804471493,69.52430961467327,2.41428584433668,66.72840933352711,72.6587203461677,0.5346445326053735,0.009983400471791576,0.5202870364600675,0.5464333463600103,27.239263107176065,0.9422197679886621,25.979244814247775,28.16336066569543,1961.2269437162893,67.8398232951054,1870.5056266256615,2027.761967929581,4.527401553409699,0.6566139979827437,4.099327794029664,5.693375485711549,32495.2,2000.835500484735,30654,35678,4742.0,591.5374037201705,4183,5537,36256.2,673.6936989463387,35620,37115
element_count.temporal_modifications,n46,46.0,5,5,0,,36247.296818809446,1814.345008957449,34279.99990132447,38533.4950822952,0.019467304178964535,0.0009133751641749677,0.01843685879070689,0.020941688243658833,72494.6,3628.6907831888902,68560,77067,9999327.2,1479.2468353861705,9998217,10001741,38.86811254074348,0.9731076496523923,37.179347599103494,39.5437991805177,20.91448173709214,0.15155816615790274,20.707342334091663,21.054230766370893,68.81572624519472,1.3685812624284734,67.08175321519383,70.78027082234621,0.5398348963996408,0.013515384023338914,0.5163798277649871,0.5492194330628959,27.642249051310756,1.3671200810861666,25.95061563025442,29.171516393950757,1990.2419316939845,98.43264583822679,1868.444325377846,2100.3491803640427,4.674735445433603,0.41849740254496354,4.174840743318455,5.129967222342752,32459.8,2843.134485035838,29939,35605,4398.2,225.67941864512147,4108,4628,35636.6,1040.6698804135729,34128,36912
element_count.triggering_conditions,n100,100.0,5,5,0,,37121.39676846499,1513.6180743298346,35261.499898499205,39270.498389643464,0.02013082017078811,0.0007699038258066495,0.01920183535524458,0.021162170691079698,74242.8,3027.235240281138,70523,78541,9999327.2,1479.2468353861705,9998217,10001741,39.239321570900955,0.5317064372673909,38.68817316029439,40.077926401731766,21.081442603096367,0.4754836617687799,20.512766310945153,21.75717969238758,69.85893839158118,2.337326911344957,66.15644601918758,72.30690106749535,0.5449905773741464,0.00738481162865132,0.5373357383386639,0.5566378666914323,26.973929198941686,1.0902889392142776,25.46423120128405,28.35953471703295,1942.1229023234155,78.5008036233327,1833.4246464922771,2041.8864996259722,4.906208445100608,0.4212579651624304,4.413961743032193,5.546775252836364,33246.2,2168.170242393341,29796,35678,4649.6,739.1689928561668,3607,5642,36347.0,734.0899127491127,35200,37221
element_count.triggering_conditions,n150,150.0,5,5,0,,36990.59675453593,1456.0650807007455,34795.99989983915,38827.99840778896,0.019990470348996432,0.0006735059498155901,0.01886206844294693,0.020519916183442618,73981.2,2912.1307834642316,69592,77656,9999327.2,1479.2468353861705,9998217,10001741,39.11038177527384,0.7271078845577783,38.2485681231777,40.01703071896689,21.043979301303626,0.28858250512346445,20.74051032215357,21.455944396555424,69.54152544893324,0.7162636538452182,68.52961716502905,70.14286227412524,0.5431997468792155,0.010098720619105977,0.5312301128220117,0.5557920933198325,27.067450602327277,1.0826991465252296,25.754432146647403,28.738927848737134,1948.8564433671775,77.95433854974448,1854.3191145584362,2069.202805108668,4.968899270132011,0.43156588288429143,4.438284164840939,5.591581311546814,33246.2,2168.170242393341,29796,35678,4500.4,280.3110771981728,4196,4866,36234.6,561.9179655430141,35600,37112
